,videoID,author,published_at,updated_at,like_count,text
0,Gn6ptv0zWZ4,@ricknico2577,2024-01-15T16:41:10Z,2024-01-15T16:41:10Z,9,More productive? <br>Shouldn&#39;t we just much rather learn how to chill and be happy with less?
1,Gn6ptv0zWZ4,@yusluv,2024-01-15T15:33:22Z,2024-01-15T15:33:22Z,51,"This is just simple, the rich will get richer through Ai , while the poor remain poor😢"
2,Gn6ptv0zWZ4,@Sophia-bq2sp,2024-01-15T16:36:42Z,2024-01-15T16:36:42Z,14,Eventually artificial intelligence will take over all human jobs. UBI Will have to be introduced.
3,Gn6ptv0zWZ4,@AH-fm7rj,2024-01-16T08:24:08Z,2024-01-16T08:24:08Z,7,"The down side of AI is that big cities like Berlin or London, which have the highest concentration of software and office workers will see a huge rise in permanent unemployment. I think these cities will soon face the Detroit syndrome."
4,Gn6ptv0zWZ4,@Human_Being__,2024-01-15T16:03:50Z,2024-01-15T16:03:50Z,22,"✨ <b><i>&quot;A.I. isn&#39;t about making machines more human like, but to make humans more machine like.&quot;</i></b> ✨"
5,Gn6ptv0zWZ4,@Denver_tld,2024-01-15T21:33:35Z,2024-01-16T11:13:13Z,11,"What a tough line of questioning big business owners concerns... Their concern is turning in more profit and the thousands they could sack as a result. Nothing to be worried about for them, I think it&#39;s kind of mind bending that we&#39;ve let ai go online and create it&#39;s s own code this was ment be the very basic premise of safely developing AI."
6,Gn6ptv0zWZ4,@AutumnWinters4229,2024-01-15T15:23:42Z,2024-01-15T15:34:12Z,7,"These machines, trying to replace human beings... But they will never have the one thing that makes each of us special and unique, souls."
7,Gn6ptv0zWZ4,@Burzilman,2024-01-15T16:01:10Z,2024-01-15T16:01:10Z,4,"Inequality is efficient as per new economists. Large corporations should become huge, and unemployment growth helps develop surplus. This is a new normal."
8,Gn6ptv0zWZ4,@terranowa2080,2024-01-15T16:04:02Z,2024-01-15T16:04:02Z,29,"There should be universal basic income,  when I say universal i mean whole world not just America"
9,Gn6ptv0zWZ4,@RahulSharma-ih8pi,2024-01-15T17:29:25Z,2024-01-15T17:29:25Z,16,"I am a really amazed by AI. It is writing codes, generating designs, and will be able to run simulations soon. I am worried about my job too even though i am making AI to do all that stuff"
